

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
1255.041  002.392  002.039: sourcing /Users/israel/.vim/symlinks/xptemplate/plugin/classes/MapSaver.vim
1255.695  000.599  000.599: sourcing /Users/israel/.vim/symlinks/xptemplate/plugin/classes/RenderContext.vim
1256.765  000.015  000.015: sourcing /Users/israel/.vim/symlinks/xptemplate/plugin/debug.vim
1257.401  001.652  001.637: sourcing /Users/israel/.vim/symlinks/xptemplate/plugin/classes/SettingSwitch.vim
1257.544  000.090  000.090: sourcing /Users/israel/.vim/symlinks/xptemplate/plugin/classes/SnippetScope.vim
1257.610  000.017  000.017: sourcing /Users/israel/.vim/symlinks/xptemplate/plugin/debug.vim
1257.737  000.078  000.078: sourcing /Users/israel/.vim/symlinks/xptemplate/plugin/FiletypeScope.class.vim
1257.860  000.077  000.077: sourcing /Users/israel/.vim/symlinks/xptemplate/plugin/FilterValue.class.vim
1257.985  000.080  000.080: sourcing /Users/israel/.vim/symlinks/xptemplate/plugin/MapSaver.class.vim
1258.109  000.080  000.080: sourcing /Users/israel/.vim/symlinks/xptemplate/plugin/mapstack.vim
1258.235  000.081  000.081: sourcing /Users/israel/.vim/symlinks/xptemplate/plugin/SettingSwitch.class.vim
1258.362  000.082  000.082: sourcing /Users/israel/.vim/symlinks/xptemplate/plugin/SnippetScope.class.vim
1258.488  000.082  000.082: sourcing /Users/israel/.vim/symlinks/xptemplate/plugin/xpclass.vim
1259.666  000.023  000.023: sourcing /Users/israel/.vim/symlinks/xptemplate/plugin/debug.vim
1261.004  002.461  002.438: sourcing /Users/israel/.vim/symlinks/xptemplate/plugin/xpmark.vim
1261.194  000.094  000.094: sourcing /Users/israel/.vim/symlinks/xptemplate/plugin/xpop.test.vim
1262.606  000.026  000.026: sourcing /Users/israel/.vim/symlinks/xptemplate/plugin/debug.vim
1263.665  000.023  000.023: sourcing /Users/israel/.vim/symlinks/xptemplate/plugin/classes/SettingSwitch.vim
1264.794  000.032  000.032: sourcing /Users/israel/.vim/symlinks/xptemplate/plugin/classes/MapSaver.vim
1266.162  004.856  004.775: sourcing /Users/israel/.vim/symlinks/xptemplate/plugin/xpopup.vim
1267.589  000.028  000.028: sourcing /Users/israel/.vim/symlinks/xptemplate/plugin/debug.vim
1268.679  000.019  000.019: sourcing /Users/israel/.vim/symlinks/xptemplate/plugin/xpmark.vim
1269.911  000.024  000.024: sourcing /Users/israel/.vim/symlinks/xptemplate/plugin/classes/SettingSwitch.vim
1270.281  004.038  003.967: sourcing /Users/israel/.vim/symlinks/xptemplate/plugin/xpreplace.vim
1273.757  000.025  000.025: sourcing /Users/israel/.vim/symlinks/xptemplate/plugin/debug.vim
1275.069  002.357  002.332: sourcing /Users/israel/.vim/symlinks/xptemplate/plugin/xptemplate.conf.vim
1276.008  000.026  000.026: sourcing /Users/israel/.vim/symlinks/xptemplate/plugin/debug.vim
1278.056  000.026  000.026: sourcing /Users/israel/.vim/symlinks/xptemplate/plugin/debug.vim
1278.753  001.731  001.705: sourcing /Users/israel/.vim/symlinks/xptemplate/plugin/xptemplate.util.vim
1279.732  000.017  000.017: sourcing /Users/israel/.vim/symlinks/xptemplate/plugin/xpreplace.vim
1280.668  000.019  000.019: sourcing /Users/israel/.vim/symlinks/xptemplate/plugin/xpmark.vim
1281.623  000.018  000.018: sourcing /Users/israel/.vim/symlinks/xptemplate/plugin/xpopup.vim
1282.655  000.027  000.027: sourcing /Users/israel/.vim/symlinks/xptemplate/plugin/classes/MapSaver.vim
1283.728  000.025  000.025: sourcing /Users/israel/.vim/symlinks/xptemplate/plugin/classes/SettingSwitch.vim
1284.784  000.029  000.029: sourcing /Users/israel/.vim/symlinks/xptemplate/plugin/classes/FiletypeScope.vim
1285.825  000.028  000.028: sourcing /Users/israel/.vim/symlinks/xptemplate/plugin/classes/FilterValue.vim
1286.871  000.026  000.026: sourcing /Users/israel/.vim/symlinks/xptemplate/plugin/classes/RenderContext.vim
1290.453  018.989  014.686: sourcing /Users/israel/.vim/symlinks/xptemplate/plugin/xptemplate.vim
1290.867  020.522  001.533: sourcing /Users/israel/.vim/symlinks/xptemplate/plugin/xpt.plugin.highlight.vim
1290.944  000.015  000.015: sourcing /Users/israel/.vim/symlinks/xptemplate/plugin/xptemplate.conf.vim
1292.049  000.027  000.027: sourcing /Users/israel/.vim/symlinks/xptemplate/plugin/debug.vim
